ID;age;Weducation;Heducation;children;religion;working;occupation;solindex;exposure;method
193;44;1;1;11;1;1;4;1;1;1
194;24;3;3;2;1;1;3;3;0;1
195;18;3;4;0;1;0;3;1;0;1
196;45;1;2;6;1;1;3;3;1;1
197;25;2;2;3;1;0;3;1;0;1
198;36;3;4;6;1;1;2;4;0;1
199;30;1;1;5;1;1;2;2;0;1
200;32;2;4;2;1;1;3;3;0;1
201;42;1;4;11;0;1;2;2;1;1
202;22;2;4;0;1;1;3;3;0;1
203;36;2;4;2;1;0;2;4;0;1
204;27;2;3;2;1;1;3;3;0;1
205;40;3;4;1;1;1;1;2;0;1
206;22;2;3;2;1;1;3;1;0;1
207;26;2;4;0;1;1;3;1;0;1
208;31;3;4;0;1;0;2;3;0;1
209;32;4;4;1;1;1;1;4;0;1
210;34;2;3;3;1;0;3;2;0;1
211;40;3;3;1;0;1;3;4;0;1
212;45;1;2;1;1;0;3;3;0;1
213;26;3;4;3;1;1;3;2;0;1
214;48;1;3;5;1;1;3;2;0;1
215;43;1;3;8;1;1;3;1;0;1
216;27;3;4;2;1;0;2;2;0;1
217;42;3;2;1;1;1;3;3;0;1
218;34;3;2;8;1;0;2;3;1;1
219;32;3;2;4;1;1;2;2;1;1
220;31;3;3;2;1;0;2;3;0;1
221;22;2;3;1;1;1;3;3;0;1
222;27;3;4;0;1;1;3;3;0;1
223;37;1;2;2;1;1;2;2;1;1
224;22;1;2;0;1;1;2;4;0;1
225;47;4;4;4;1;1;1;4;0;1
226;32;4;4;4;1;0;1;3;0;1
227;37;3;3;2;1;1;1;4;0;1
228;45;1;3;1;1;1;2;3;1;1
229;47;1;4;8;1;1;3;3;0;1
230;28;3;4;0;1;1;3;2;0;1
231;48;1;3;4;1;1;3;4;1;1
232;26;2;4;1;1;1;1;3;0;1
233;21;3;4;0;1;0;3;1;0;1
234;20;2;3;1;1;1;2;4;0;1
235;39;1;1;5;1;0;3;1;1;1
236;27;2;3;1;1;0;3;4;0;1
237;37;2;3;5;1;0;3;2;0;1
238;24;4;4;1;1;1;3;3;0;1
239;39;3;3;6;1;1;3;3;0;1
240;20;3;3;1;1;1;2;3;0;1
241;19;3;4;1;1;1;2;3;0;1
242;40;3;3;4;1;1;2;2;0;1
243;41;1;4;4;1;1;3;3;0;1
244;22;4;4;2;1;1;1;3;0;1
245;32;3;4;4;1;1;1;4;0;1
246;34;4;4;2;0;1;1;4;0;1
247;34;4;4;2;1;0;1;3;0;1
248;23;4;4;2;1;1;1;4;0;1
249;27;4;4;1;1;1;1;2;0;1
250;46;3;2;11;1;0;2;2;1;1
251;34;4;4;3;0;1;1;2;0;1
252;33;4;4;5;1;1;3;3;0;1
253;25;3;3;1;1;1;3;2;0;1
254;26;4;4;1;1;0;1;4;0;1
255;48;1;3;4;1;1;3;3;1;1
256;36;4;4;2;1;1;3;3;0;1
257;38;3;4;2;0;1;2;4;0;1
258;44;1;2;7;1;1;3;4;0;1
259;44;2;2;1;1;0;3;2;0;1
260;39;3;3;1;0;1;3;4;0;1
261;47;1;2;7;1;0;3;2;0;1
262;43;1;3;5;1;0;3;2;0;1
263;29;3;3;3;1;0;2;4;0;1
264;22;3;3;0;1;1;2;2;0;1
265;31;2;4;5;1;1;3;2;0;1
266;22;4;4;0;1;1;1;3;0;1
267;45;3;4;6;1;1;2;4;0;1
268;42;3;4;10;1;0;3;2;0;1
269;38;3;3;7;1;1;3;1;0;1
270;47;1;1;6;1;0;3;1;0;1
271;30;4;4;2;1;1;1;4;0;1
272;28;3;4;1;1;1;3;4;0;1
273;25;3;4;1;1;1;2;1;0;1
274;49;2;4;6;0;1;2;3;0;1
275;23;3;4;2;1;0;2;3;0;1
276;35;3;4;1;0;1;2;3;0;1
277;47;2;1;5;0;1;2;4;0;1
278;35;2;3;0;1;1;2;4;0;1
279;44;3;4;6;1;1;3;4;0;1
280;48;4;4;3;1;1;2;4;0;1
281;43;2;3;6;1;0;3;3;0;1
282;21;2;4;2;1;1;3;1;0;1
283;22;4;4;0;1;1;1;4;0;1
284;41;3;3;5;1;1;3;4;0;1
285;29;2;4;2;1;0;4;4;1;1
286;44;4;4;5;0;1;2;4;0;1
287;22;4;4;0;1;0;1;4;0;1
288;23;2;4;4;1;1;3;3;0;1
289;22;2;1;0;1;1;3;2;0;1
290;35;1;3;0;1;1;2;2;1;1
291;24;4;4;1;1;1;2;2;0;1
292;36;4;4;4;1;1;1;4;0;1
293;47;1;2;2;1;1;2;4;0;1
294;40;4;4;3;1;1;3;4;0;1
295;29;4;4;1;1;1;1;3;0;1
296;49;3;4;6;1;1;1;4;0;1
297;49;3;4;9;1;1;1;4;0;1
298;47;4;4;2;1;1;1;4;0;1
299;28;4;4;3;0;1;1;4;0;1
300;26;4;4;1;1;1;1;4;0;1
301;29;1;2;7;1;1;2;4;0;1
302;29;4;2;0;1;0;2;2;0;1
303;25;3;3;1;1;1;3;4;0;1
304;24;2;4;2;1;1;3;4;0;1
305;23;4;4;1;1;0;2;4;0;1
306;23;4;4;2;1;0;3;3;0;1
307;44;1;2;2;1;1;2;4;0;1
308;39;3;4;6;1;1;1;4;0;1
309;21;3;3;0;1;1;2;2;0;1
310;22;3;4;2;1;1;2;3;0;1
311;47;3;4;3;1;1;2;3;0;1
312;36;3;3;2;1;0;2;4;0;1
313;25;1;4;2;1;0;3;3;1;1
314;40;4;4;2;1;1;3;4;0;1
315;36;2;2;0;0;0;3;3;0;1
316;37;2;3;5;0;0;2;4;0;1
317;28;1;4;2;1;0;2;3;0;1
318;30;3;3;5;1;0;3;4;0;1
319;16;3;4;1;1;1;3;3;0;1
320;32;2;3;4;0;1;2;4;0;1
321;40;4;4;3;0;1;3;4;0;1
322;40;1;1;2;1;0;3;4;0;1
323;45;3;4;2;0;1;1;4;0;1
324;21;1;3;0;1;0;3;4;1;1
325;28;4;4;1;0;1;1;3;0;1
326;25;4;4;1;0;1;2;3;0;1
327;44;1;3;4;1;1;3;3;1;1
328;35;4;4;2;0;1;3;4;0;1
329;49;4;4;4;1;1;3;4;0;1
330;39;3;4;1;0;1;3;4;0;1
331;32;3;4;1;0;1;2;4;0;1
332;35;1;2;0;1;0;4;4;0;1
333;21;1;2;1;1;0;3;4;0;1
334;47;4;4;1;0;1;1;4;0;1
335;27;4;4;1;0;1;3;4;0;1
336;31;2;2;8;1;1;2;2;1;1
337;34;4;3;0;0;0;3;3;0;1
338;30;4;4;3;1;0;2;4;0;1
339;25;4;4;0;1;0;2;4;0;1
340;28;3;4;3;1;1;2;1;0;1
341;30;2;3;4;1;0;3;2;0;1
342;42;3;3;8;1;1;4;3;0;1
343;23;4;4;0;0;1;2;4;0;1
344;45;3;4;3;0;1;3;4;0;1
345;21;4;4;1;1;1;3;3;0;1
346;28;4;4;1;0;1;2;4;0;1
347;33;4;4;1;0;0;3;4;0;1
348;32;1;2;4;1;1;3;2;1;1
349;25;2;2;3;1;1;3;3;0;1
350;25;3;3;1;1;1;3;1;0;1
351;19;2;2;2;1;1;3;1;0;1
352;40;1;2;6;1;1;3;1;1;1
353;24;2;2;2;1;1;3;1;1;1
354;32;2;2;1;1;1;2;1;0;1
355;35;2;3;8;1;1;3;2;0;1
356;27;2;2;1;1;0;3;2;1;1
357;23;2;4;2;1;1;1;4;0;1
358;22;2;4;4;1;1;3;4;0;1
359;49;2;3;0;1;1;1;2;0;1
360;25;2;3;0;1;1;2;4;0;1
361;18;3;4;1;1;1;3;1;0;1
362;43;3;3;4;1;1;2;4;0;1
363;37;1;3;0;1;1;3;4;0;1
364;30;2;3;2;1;0;2;4;0;1
365;29;3;2;0;1;1;2;2;0;1
366;20;2;3;3;1;1;3;4;0;1
367;42;3;3;3;1;0;2;4;0;1
368;23;4;4;1;1;1;2;3;0;1
369;34;2;3;7;1;0;3;3;0;1
370;23;3;3;6;1;1;3;3;0;1
371;38;3;3;5;1;1;1;4;0;1
372;37;2;3;4;1;1;2;3;0;1
373;17;2;3;1;1;1;3;2;0;1
374;39;3;4;3;1;1;1;4;0;1
375;49;1;3;0;1;1;3;3;1;1
376;23;3;3;2;1;1;2;2;0;1
377;40;3;3;3;1;1;2;2;1;1
378;32;2;4;5;1;1;2;3;0;1
379;18;2;3;1;1;1;2;3;0;1
380;46;1;2;8;1;1;3;3;1;1
381;37;3;3;6;1;1;2;2;0;1
382;38;2;4;5;0;1;2;2;0;1
383;37;2;3;2;0;0;3;3;0;1
384;25;2;3;1;1;0;2;1;0;1
385;38;2;4;5;1;1;3;3;0;1
386;39;4;4;2;1;0;1;4;0;1
387;44;4;4;3;1;0;1;4;1;1
388;19;4;4;0;0;1;3;4;0;1
389;28;2;4;1;1;0;3;4;0;1
390;20;2;3;1;1;1;3;4;0;1
391;33;4;4;0;1;0;3;3;0;1
392;33;4;4;5;1;1;3;4;0;1
393;47;1;4;6;1;1;1;4;0;1
394;25;3;3;0;1;1;3;4;0;1
395;29;4;4;0;1;0;2;4;0;1
396;37;4;4;2;0;1;1;4;0;1
397;49;1;3;6;1;1;2;4;0;1
398;48;1;1;8;1;0;2;2;1;1
399;19;2;2;0;1;1;2;2;0;1
400;46;1;2;3;1;1;2;1;1;1
401;39;1;2;2;1;1;3;1;1;1
402;30;3;4;5;1;1;1;4;0;1
403;40;2;2;8;1;1;2;2;0;1
404;43;1;2;1;1;1;3;4;1;1
405;29;3;4;4;1;0;1;3;0;1
406;23;3;3;2;1;1;3;3;0;1
407;24;2;2;3;1;1;2;4;0;1
408;47;3;3;2;1;1;2;4;0;1
409;35;3;3;2;1;0;2;2;0;1
410;19;3;3;1;1;1;2;4;0;1
411;45;2;3;4;1;0;2;4;0;1
412;42;2;4;2;1;1;3;4;0;1
413;47;1;1;1;1;1;3;4;0;1
414;25;2;2;2;1;1;3;1;0;1
415;20;2;3;3;1;1;3;4;0;1
416;33;3;3;6;1;1;3;4;0;2
417;46;4;3;5;1;1;1;4;0;2
418;35;4;4;4;1;1;1;4;0;2
419;26;4;4;2;1;0;1;4;0;2
420;36;3;3;5;1;0;1;3;0;2
421;37;3;4;3;1;1;1;3;0;2
422;44;2;4;4;1;1;3;3;0;2
423;32;4;4;2;1;1;1;4;0;2
424;25;2;4;6;1;1;3;4;0;2
425;42;2;3;7;1;1;3;4;0;2
426;30;4;4;2;0;0;1;4;0;2
427;39;4;4;4;1;1;1;4;0;2
428;26;1;1;2;1;1;3;4;0;2
429;30;2;4;3;1;1;3;4;0;2
430;38;4;4;4;0;0;1;2;0;2
431;23;4;4;1;1;1;1;2;0;2
432;18;3;4;1;1;1;3;4;0;2
433;25;3;4;3;1;1;2;3;0;2
434;37;4;4;2;1;0;3;3;0;2
435;20;3;4;1;1;1;3;2;0;2
436;45;4;4;7;1;1;1;4;0;2
437;28;2;1;2;1;0;3;3;0;2
438;33;2;2;3;1;1;2;3;0;2
439;28;2;3;2;1;1;3;3;0;2
440;30;2;4;1;1;0;3;4;0;2
441;32;4;4;4;1;1;2;4;0;2
442;48;4;3;7;1;0;2;4;0;2
443;46;4;4;2;1;0;1;4;0;2
444;32;4;4;2;0;0;1;4;0;2
445;49;4;4;10;1;1;1;4;0;2
446;33;2;2;6;1;0;3;4;0;2
447;39;4;4;3;1;1;1;4;0;2
448;35;4;4;5;0;0;1;4;0;2
449;36;4;4;3;0;1;1;3;0;2
450;20;3;4;1;1;1;2;4;0;2
451;23;4;4;1;1;1;3;4;0;2
452;26;2;4;2;1;1;1;3;0;2
453;25;3;3;1;1;1;3;1;0;2
454;31;4;4;1;1;1;1;4;0;2
455;36;4;4;2;1;1;2;4;0;2
456;32;3;3;2;1;0;3;4;0;2
457;36;4;4;3;1;1;1;4;0;2
458;40;4;4;3;1;1;1;4;0;2
459;46;4;4;4;1;1;1;4;0;2
460;42;4;4;8;0;1;1;4;0;2
461;39;4;4;4;1;0;1;4;0;2
462;34;4;4;2;1;1;1;4;0;2
463;36;4;4;3;1;1;1;4;0;2
464;37;4;4;3;1;1;1;4;0;2
465;36;4;4;4;0;1;1;4;0;2
466;38;4;4;2;1;1;1;4;0;2
467;27;3;3;1;0;0;2;4;0;2
468;37;4;3;8;1;1;1;4;0;2
469;24;1;4;1;1;0;4;2;1;2
470;42;2;4;8;1;1;1;4;0;2
471;31;4;4;3;0;0;4;4;0;2
472;34;2;3;2;1;1;3;3;0;2
473;34;4;4;4;1;1;3;3;0;2
474;36;4;4;4;0;0;1;4;0;2
475;47;4;4;8;1;1;1;4;0;2
476;34;4;4;3;1;1;1;4;0;2
477;44;4;4;6;0;1;1;3;0;2
478;21;4;4;1;1;1;1;4;0;2
479;42;4;4;6;1;1;1;3;0;2
480;44;4;4;4;1;0;2;3;0;2
481;19;4;4;1;1;1;2;3;0;2
482;35;1;3;7;1;0;2;3;1;2
483;24;4;4;1;1;1;3;2;0;2
484;32;3;4;7;0;1;1;3;0;2
485;31;3;3;2;1;0;3;3;0;2
486;47;3;4;11;1;0;2;3;0;2
487;38;4;4;6;1;0;3;3;0;2
488;40;4;4;4;1;1;1;3;0;2
489;35;3;3;4;1;1;3;2;0;2
490;26;3;4;3;1;1;3;4;0;2
491;23;4;3;3;1;1;3;3;0;2
492;40;4;4;6;0;0;1;4;0;2
493;37;4;4;3;1;1;1;4;0;2
494;39;4;4;5;1;1;2;4;0;2
495;25;4;4;2;1;1;2;4;0;2
496;48;4;4;4;0;1;1;4;0;2
497;31;4;4;3;1;1;1;4;0;2
498;26;4;4;1;0;1;2;4;0;2
499;44;4;4;5;1;0;1;4;0;2
500;29;4;4;1;1;0;2;4;0;2
501;36;2;1;6;1;1;2;1;0;2
502;29;4;4;2;1;0;1;3;0;2
503;37;2;3;7;1;1;3;4;0;2
504;28;3;3;3;1;1;1;2;0;2
505;40;2;3;6;1;1;1;2;0;2
506;33;4;4;4;1;1;1;4;0;2
507;22;4;4;1;1;1;1;2;0;2
508;35;3;4;5;1;0;1;3;1;2
509;32;4;4;3;0;1;3;3;0;2
510;35;4;4;5;1;0;1;3;0;2
511;29;4;4;2;1;1;1;4;0;2
512;23;3;3;2;1;0;3;4;0;2
513;35;4;4;2;1;0;1;4;0;2
514;36;4;4;3;1;0;2;4;0;2
515;32;4;4;2;1;0;1;4;0;2
516;30;4;1;4;1;1;3;3;0;2
517;36;4;4;4;0;1;2;4;0;2
518;33;4;4;3;1;1;3;4;0;2
519;33;3;4;5;0;1;3;3;0;2
520;43;2;4;13;1;1;2;3;0;2
521;35;3;3;6;1;1;2;3;0;2
522;38;4;4;5;1;1;1;3;0;2
523;25;3;1;4;1;1;3;1;0;2
524;26;3;3;2;1;1;3;2;0;2
525;24;4;4;1;1;1;3;4;0;2
526;22;3;4;1;1;1;4;4;0;2
527;33;2;3;5;1;0;2;1;0;2
528;45;3;3;7;1;1;3;4;0;2
529;29;4;4;2;1;0;1;3;0;2
530;47;2;2;7;1;1;2;4;0;2
531;36;3;2;6;1;1;3;2;0;2
532;45;3;3;8;1;1;2;3;0;2
533;47;4;4;6;1;0;1;4;0;2
534;43;3;4;2;1;0;2;4;0;2
535;44;4;4;7;1;1;3;2;0;2
536;24;2;4;2;1;1;3;3;0;2
537;28;4;4;2;1;0;1;3;0;2
538;34;4;4;5;1;1;3;4;0;2
539;31;3;4;4;1;1;1;3;0;2
540;27;4;4;3;1;1;1;4;0;2
541;27;3;3;1;1;0;3;4;0;2
542;26;4;4;1;1;0;1;3;0;2
543;36;3;4;7;1;1;2;2;0;2
544;35;4;4;4;0;1;3;3;0;2
545;38;4;4;6;1;1;3;3;0;2
546;44;4;4;7;1;1;2;4;0;2
547;25;4;4;1;1;1;1;4;0;2
548;25;4;4;2;0;1;1;3;0;2
549;41;4;4;4;1;1;1;4;0;2
550;41;3;4;5;1;1;1;3;0;2
551;24;4;4;1;1;0;1;4;0;2
552;33;4;4;3;1;1;3;3;0;2
553;29;4;4;3;1;0;3;3;0;2
554;47;4;4;4;1;0;1;4;0;2
555;28;4;4;4;1;1;1;3;0;2
556;21;2;2;1;1;1;3;2;0;2
557;32;3;3;6;1;0;3;3;0;2
558;30;3;4;2;1;1;1;4;0;2
559;37;4;4;5;1;1;3;4;0;2
560;29;4;3;4;1;0;3;2;0;2
561;38;4;4;3;1;0;1;4;0;2
562;49;3;3;11;1;1;1;4;0;2
563;41;3;3;5;1;1;1;4;0;2
564;43;3;4;5;1;1;3;2;1;2
565;47;1;1;10;1;1;3;3;0;2
566;22;4;4;1;1;1;1;3;0;2
567;27;4;4;1;0;0;1;4;0;2
568;34;3;4;2;0;1;2;3;0;2
569;42;3;3;4;1;1;2;4;0;2
570;39;4;4;3;0;0;1;4;0;2
571;36;4;4;3;0;1;2;4;0;2
572;21;4;4;1;1;1;2;1;0;2
573;36;3;4;4;0;0;2;4;0;2
574;25;2;3;1;1;0;4;4;0;2
575;41;4;4;4;0;0;2;4;0;2
576;32;4;4;4;0;0;2;4;0;2
577;41;4;4;4;0;0;2;4;0;2
578;43;4;4;3;0;1;1;4;0;2
579;35;4;4;3;1;1;2;3;0;2
580;24;4;4;2;1;0;1;3;0;2
581;43;4;4;6;1;1;1;4;0;2
582;48;4;4;7;0;1;1;4;0;2
583;28;4;4;2;1;1;1;3;0;2
584;24;4;4;1;1;1;1;4;0;2
585;42;4;4;3;1;0;1;4;0;2
586;39;4;4;3;1;1;1;4;0;2
587;24;4;4;1;1;1;1;4;0;2
588;33;4;3;5;1;1;2;4;0;2
589;29;4;4;2;1;1;3;4;0;2
590;44;4;4;5;1;1;1;4;0;2
591;17;4;4;1;1;1;2;4;0;2
592;35;3;4;3;1;1;2;2;0;2
593;32;3;4;5;1;1;1;2;0;2
594;27;4;4;2;1;0;1;3;0;2
595;44;4;4;4;1;1;1;4;0;2
596;42;4;4;5;1;1;1;4;0;2
597;40;4;4;6;1;1;1;3;0;2
598;44;4;4;3;1;1;1;4;0;2
599;33;4;4;5;1;1;2;4;0;2
600;35;2;4;3;0;0;3;4;1;2
601;31;4;2;2;0;1;1;3;0;2
602;37;4;4;3;0;1;3;4;0;2
603;45;4;4;3;0;1;2;4;0;2
604;26;4;4;2;0;1;1;4;0;2
605;40;3;4;2;0;1;3;4;0;2
606;30;4;4;1;0;1;2;4;0;2
607;36;3;4;3;0;0;3;4;0;2
608;33;3;4;3;0;1;2;4;0;2
609;41;4;4;5;0;1;2;4;0;2
610;45;3;3;6;0;1;2;4;0;2
611;48;4;4;6;0;1;2;4;0;2
612;35;4;4;3;0;0;3;4;0;2
613;37;4;4;4;0;0;2;4;0;2
614;46;4;4;3;0;0;1;4;0;2
615;38;4;4;4;0;1;3;4;0;2
616;30;3;4;7;1;1;2;4;0;2
617;42;4;3;7;1;0;1;4;0;2
618;35;2;2;6;1;1;3;4;0;2
619;34;4;4;6;1;1;3;4;0;2
620;37;4;4;4;1;1;1;4;0;2
621;38;4;4;6;1;1;1;4;0;2
622;30;3;3;2;1;1;2;3;0;2
623;46;4;4;4;1;1;1;4;0;2
624;31;4;4;3;0;1;2;4;0;2
625;41;4;4;6;0;1;1;4;0;2
626;41;4;4;7;1;1;2;4;0;2
627;32;4;4;2;0;0;2;4;0;2
628;44;4;4;4;1;1;1;4;0;2
629;39;4;4;4;0;1;1;4;0;2
630;39;4;4;5;1;1;1;4;0;2
631;45;4;4;4;1;1;1;4;0;2
632;33;4;4;3;1;1;1;4;0;2
633;39;4;4;3;0;1;1;4;0;2
